elapsed [sec],memory usage (rss) [MB]
0,52.9140625
1,61.9140625
2,64.0234375
3,65.2734375
4,63.51953125
5,68.65234375
6,76.38671875
7,74.578125
8,73.25390625
9,73.37890625
10,74.49609375
11,73.03515625
12,73.03515625
13,73.03515625
14,73.703125
15,77.96875
16,78.85546875
17,77.328125
18,77.328125
19,77.08984375
20,80.796875
21,78.82421875
22,76.96875
23,76.27734375
24,80.1640625
25,78.21484375
26,78.21484375
27,78.21484375
28,76.44140625
29,76.44140625
30,86.31640625
31,82.48828125
32,82.48828125
33,82.48828125
34,82.48828125
35,82.48828125
36,88.21484375
37,88.21484375
38,88.21484375
39,86.75
40,90.6875
41,90.0
42,90.25
43,90.25
44,90.25
45,87.96875
46,85.56640625
47,85.56640625
48,85.56640625
49,85.56640625
50,82.8984375
51,82.8984375
52,82.8984375
53,83.2734375
54,83.53125
55,84.90625
56,85.28125
57,84.8203125
58,83.31640625
59,84.65625
60,84.98046875
61,85.48046875
62,85.48046875
63,84.08203125
64,84.08203125
65,83.58984375
66,84.48828125
67,85.86328125
68,84.26953125
69,84.26953125
70,84.26953125
71,83.49609375
72,84.74609375
73,85.24609375
74,85.35546875
75,82.67578125
76,82.67578125
77,82.67578125
78,85.2421875
79,85.41796875
80,85.91796875
81,83.9921875
82,83.9921875
83,84.1171875
84,82.1171875
85,81.625
86,81.625
87,81.3125
88,81.3125
89,91.05078125
90,90.92578125
91,90.92578125
92,90.92578125
93,90.92578125
94,90.92578125
95,90.92578125
96,90.92578125
97,90.92578125
98,90.92578125
99,90.92578125
100,90.92578125
101,90.92578125
102,90.92578125
103,90.92578125
104,85.76953125
105,85.76953125
106,88.23828125
107,87.640625
108,87.765625
109,87.765625
110,87.765625
111,86.0703125
112,87.4453125
113,87.6953125
114,85.71875
115,85.71875
116,85.95703125
117,87.33203125
118,87.58203125
119,85.9296875
120,83.96484375
121,83.96484375
122,83.96484375
123,83.96484375
124,83.96484375
125,86.25390625
126,87.50390625
127,87.87890625
128,85.984375
129,85.984375
130,84.23828125
131,85.61328125
132,85.86328125
133,85.8828125
134,80.984375
135,79.6953125
136,79.6953125
137,79.6953125
138,79.6953125
139,79.6953125
140,79.6953125
141,78.8359375
142,78.7109375
143,78.7109375
144,78.7109375
145,78.7109375
146,78.7109375
147,78.7109375
148,87.96875
149,87.41015625
150,86.37109375
151,86.37109375
152,86.37109375
153,84.39453125
154,84.39453125
155,84.87109375
156,86.37109375
157,86.37109375
158,86.37109375
159,84.28515625
160,84.28515625
161,84.28515625
162,84.28515625
163,87.6171875
164,87.6171875
165,87.6171875
166,87.6171875
167,87.6171875
168,87.6171875
169,87.6171875
170,87.6171875
171,87.6171875
172,87.6171875
173,87.6171875
174,87.6171875
175,87.6171875
176,87.6171875
177,87.6171875
178,91.74609375
179,91.87109375
180,91.87109375
181,91.87109375
182,91.87109375
183,91.87109375
184,79.35546875
185,79.35546875
186,79.35546875
187,79.35546875
188,79.35546875
189,79.35546875
190,79.35546875
191,79.35546875
192,79.35546875
193,88.546875
194,88.546875
195,88.546875
196,88.546875
197,88.546875
198,88.546875
199,88.546875
200,88.546875
201,88.546875
202,88.546875
203,88.546875
204,88.546875
205,88.546875
206,90.37109375
207,91.578125
208,88.06640625
209,88.06640625
210,88.06640625
