elapsed [sec],ObjectSpace.memsize_of_all values [MB]
0,20.10846996307373
1,16.29611873626709
2,18.02079963684082
3,17.737135887145996
4,17.452380180358887
5,19.268978118896484
6,18.46121883392334
7,14.830765724182129
8,14.691108703613281
9,17.987403869628906
10,21.53593349456787
11,16.956207275390625
12,16.697500228881836
13,16.396395683288574
14,16.077439308166504
15,16.920939445495605
16,19.184213638305664
17,19.361364364624023
18,21.36197280883789
19,21.38204002380371
20,21.403606414794922
21,18.44583225250244
22,22.070480346679688
23,22.05404567718506
24,22.074796676635742
25,22.09588050842285
26,22.45575714111328
27,22.477272987365723
28,22.498753547668457
29,22.858745574951172
30,23.853290557861328
31,21.262725830078125
32,21.37568759918213
33,18.62775230407715
34,18.738999366760254
35,18.84990406036377
36,19.290267944335938
37,19.40211009979248
38,19.505451202392578
39,19.61731719970703
40,20.067673683166504
41,20.180134773254395
42,20.292275428771973
43,20.7345552444458
44,20.838175773620605
45,21.593432426452637
46,22.271347045898438
47,22.60180377960205
48,22.94236660003662
49,23.283540725708008
50,21.006845474243164
51,21.339024543762207
52,21.679749488830566
53,22.358083724975586
54,22.690797805786133
55,23.03126811981201
56,23.382012367248535
57,20.77001667022705
58,21.441789627075195
59,34.09268093109131
60,21.138153076171875
61,21.516889572143555
62,19.309889793395996
63,19.680424690246582
64,20.059773445129395
65,20.58009433746338
66,21.156521797180176
67,21.536398887634277
68,18.99348545074463
69,19.711369514465332
70,20.083036422729492
71,20.46343994140625
72,20.844459533691406
73,21.554340362548828
74,21.91375732421875
75,20.25702476501465
76,20.404675483703613
77,20.543099403381348
78,19.819951057434082
79,20.292518615722656
80,20.438011169433594
81,20.581350326538086
82,21.05493450164795
83,21.198272705078125
84,21.333589553833008
85,21.47729778289795
86,18.79581356048584
87,18.949030876159668
88,19.084856033325195
89,21.4859561920166
90,21.549110412597656
91,18.894161224365234
92,19.534024238586426
93,19.861221313476562
94,20.180258750915527
95,20.497886657714844
96,21.13566493988037
97,21.465551376342773
98,21.775670051574707
99,19.122861862182617
100,19.444573402404785
101,20.08286476135254
102,20.412081718444824
103,20.73216152191162
104,18.5053129196167
105,18.712541580200195
106,18.867146492004395
107,19.02199077606201
108,19.50700092315674
109,19.6618070602417
110,19.807769775390625
111,19.96326446533203
112,20.448081970214844
113,20.612420082092285
114,20.767264366149902
115,20.922797203063965
116,21.407347679138184
117,21.56336498260498
118,18.57545757293701
119,19.926457405090332
120,20.230443000793457
121,20.534186363220215
122,20.853943824768066
123,21.46269989013672
124,21.776057243347168
125,19.076823234558105
126,19.624810218811035
127,20.016773223876953
128,20.321775436401367
129,20.63612651824951
130,21.27115535736084
131,21.57685947418213
132,18.88723659515381
133,23.274622917175293
134,19.694403648376465
135,20.340914726257324
136,21.916916847229004
137,22.189430236816406
138,22.503599166870117
139,23.156675338745117
140,20.51310920715332
141,20.837034225463867
142,21.31332302093506
143,21.805150985717773
144,22.12912082672119
145,22.46160125732422
146,23.106226921081543
147,20.464664459228516
148,21.474215507507324
149,21.946078300476074
150,22.78416919708252
151,23.292579650878906
152,21.009840965270996
153,21.510096549987793
154,22.348937034606934
155,22.86712646484375
156,23.367341995239258
157,21.22433567047119
158,21.925819396972656
159,22.444013595581055
160,22.954237937927246
161,21.003721237182617
162,21.514320373535156
163,22.189457893371582
164,22.443470001220703
165,23.01504421234131
166,20.606818199157715
167,20.98830795288086
168,21.378917694091797
169,22.089567184448242
170,22.47225284576416
171,22.84536647796631
172,23.23668670654297
173,20.692131996154785
174,21.41335105895996
175,21.796066284179688
176,22.17030620574951
177,22.562302589416504
178,22.079535484313965
179,22.59972095489502
180,23.161641120910645
181,21.215048789978027
182,21.752514839172363
183,22.282084465026855
184,23.140743255615234
185,20.899144172668457
186,21.42873764038086
187,21.958239555358887
188,22.818227767944336
189,23.339323043823242
190,21.107531547546387
191,21.629061698913574
192,22.4989595413208
193,23.25926399230957
194,24.07272720336914
195,24.655590057373047
196,22.76239776611328
197,23.46130657196045
198,24.151525497436523
199,25.18932819366455
200,23.288850784301758
201,23.989238739013672
202,24.985690116882324
203,23.110149383544922
204,23.80951690673828
205,24.509778022766113
206,22.939233779907227
207,23.639966011047363
208,22.962135314941406
209,23.992734909057617
210,24.842589378356934
211,23.215746879577637
212,24.386696815490723
213,25.236767768859863
214,23.618436813354492
