elapsed [sec],ObjectSpace.memsize_of_all values [MB]
0,20.00273036956787
1,16.265366554260254
2,17.998379707336426
3,17.73129940032959
4,17.465764045715332
5,22.166251182556152
6,21.45687198638916
7,25.082772254943848
8,21.269200325012207
9,20.574377059936523
10,24.44319725036621
11,23.830921173095703
12,27.558305740356445
13,26.48063564300537
14,21.40792465209961
15,22.84460735321045
16,26.140297889709473
17,20.772321701049805
18,20.55149555206299
19,23.84718608856201
20,20.30605125427246
21,23.92222309112549
22,20.381091117858887
23,19.6856632232666
24,20.144514083862305
25,23.761170387268066
26,25.484159469604492
27,20.623526573181152
28,23.919217109680176
29,20.71338176727295
30,36.5598201751709
31,22.400750160217285
32,25.705322265625
33,22.234946250915527
34,25.868881225585938
35,22.406719207763672
36,25.702409744262695
37,22.232555389404297
38,21.857608795166016
39,22.405363082885742
40,25.701053619384766
41,22.23073673248291
42,27.89261531829834
43,27.1076717376709
44,22.505894660949707
45,26.731216430664062
46,20.27233600616455
47,19.559144973754883
48,20.218576431274414
49,23.83474826812744
50,20.494321823120117
51,19.78113079071045
52,20.432289123535156
53,24.066224098205566
54,20.717369079589844
55,20.004178047180176
56,20.655150413513184
57,24.289085388183594
58,20.94034767150879
59,29.8732967376709
60,15.97146987915039
61,19.59652328491211
62,20.176551818847656
63,23.47224235534668
64,20.04498291015625
65,19.67003631591797
66,20.259136199951172
67,23.545945167541504
68,20.126408576965332
69,19.75146198272705
70,20.331846237182617
71,23.62753677368164
72,20.208380699157715
73,19.83759117126465
74,30.067728996276855
75,20.136605262756348
76,23.4415340423584
77,24.706225395202637
78,20.226991653442383
79,23.522682189941406
80,20.006359100341797
81,19.420766830444336
82,20.1246976852417
83,23.420388221740723
84,19.921085357666016
85,19.21677589416504
86,20.039475440979004
87,23.326284408569336
88,19.819351196289062
89,29.818039894104004
90,17.687716484069824
91,20.987221717834473
92,21.54913902282715
93,24.848644256591797
94,21.73129367828369
95,25.03079891204834
96,21.5931978225708
97,24.89270305633545
98,21.77855110168457
99,25.09258270263672
100,21.655134201049805
101,24.954639434814453
102,21.847267150878906
103,21.146772384643555
104,27.302979469299316
105,21.266879081726074
106,24.756633758544922
107,21.581942558288574
108,20.881447792053223
109,21.567983627319336
110,25.197233200073242
111,21.88366413116455
112,21.19205093383789
113,21.878786087036133
114,25.499154090881348
115,22.185712814331055
116,25.485218048095703
117,22.172167778015137
118,36.20265769958496
119,20.61929225921631
120,24.209640502929688
121,20.783682823181152
122,20.17452621459961
123,20.997220993041992
124,24.28784465789795
125,20.862792015075684
126,20.49204158782959
127,21.067639350891113
128,24.36714458465576
129,26.353877067565918
130,21.60216236114502
131,25.240293502807617
132,21.81991195678711
133,36.541008949279785
134,20.850932121276855
135,24.27958869934082
136,20.96737575531006
137,24.266880989074707
138,20.7539644241333
139,24.383456230163574
140,20.862003326416016
141,20.161508560180664
142,20.648371696472168
143,24.286502838134766
144,20.774209022521973
145,20.07371425628662
146,20.88276481628418
147,24.182270050048828
148,19.921707153320312
149,19.230093955993652
150,15.80864429473877
151,19.429012298583984
152,20.01721954345703
153,23.30784320831299
154,20.225624084472656
155,19.525129318237305
156,20.103800773620605
157,23.73305034637451
158,20.312052726745605
159,19.602676391601562
160,20.519448280334473
161,23.81007194519043
162,26.60066795349121
163,30.072267532348633
164,21.07630157470703
165,24.714917182922363
166,21.31045436859131
167,20.609959602355957
168,21.513171195983887
169,24.843729972839355
170,21.457820892333984
171,20.74844455718994
172,21.692317962646484
173,24.991823196411133
174,21.58750057220459
175,21.225631713867188
176,21.83087921142578
177,37.18270969390869
178,21.451611518859863
179,24.75111675262451
180,21.658455848693848
181,24.949079513549805
182,21.526823043823242
183,25.16495418548584
184,21.74320411682129
185,24.133973121643066
186,19.356637954711914
187,22.98588752746582
188,19.568114280700684
189,18.876501083374023
190,15.459846496582031
191,19.080214500427246
192,33.15521240234375
193,22.282748222351074
194,25.582253456115723
195,22.292036056518555
196,25.91313076019287
197,22.621848106384277
198,25.930234909057617
199,22.639840126037598
200,19.67915153503418
201,18.969775199890137
202,15.68808650970459
203,19.308454513549805
204,16.019025802612305
205,19.327412605285645
206,16.971580505371094
207,23.53493309020996
208,20.607072830200195
209,23.906578063964844
210,20.464037895202637
211,20.09364414215088
212,20.6509428024292
213,23.941566467285156
214,20.49986171722412
215,20.129353523254395
216,20.696298599243164
217,23.98692226409912
218,20.884135246276855
219,20.174758911132812
220,20.733217239379883
221,29.309391975402832
222,32.60889720916748
223,22.88084602355957
224,19.544312477111816
225,22.852699279785156
226,19.85423183441162
227,23.144855499267578
228,19.82651424407959
229,19.44736671447754
230,16.128840446472168
231,19.419464111328125
232,20.422008514404297
233,23.730395317077637
234,20.402283668518066
235,20.031533241271973
236,31.918095588684082
237,21.83257484436035
238,25.14096164703369
239,22.0457706451416
240,24.45669651031494
241,27.088180541992188
242,22.347352981567383
243,15.265336990356445
244,16.564842224121094
245,21.864347457885742
246,22.7727108001709
247,19.35200595855713
248,18.642629623413086
249,15.551478385925293
250,16.667795181274414
251,26.2814884185791
252,21.50558853149414
253,24.81397533416748
254,21.512380599975586
255,21.1327486038208
256,21.830349922180176
257,25.129855155944824
258,21.827865600585938
259,21.136252403259277
260,22.155437469482422
261,25.45494270324707
262,22.15311622619629
263,21.46150302886963
264,22.490209579467773
265,35.072346687316895
266,20.56572151184082
267,24.186089515686035
268,20.774075508117676
269,24.064699172973633
270,20.6525297164917
