elapsed [sec],memory usage (rss) [MB]
0,48.15234375
1,56.34765625
2,59.59765625
3,60.72265625
4,60.84765625
5,70.19140625
6,81.9140625
7,84.9140625
8,91.15234375
9,91.90234375
10,89.34765625
11,89.34765625
12,86.3984375
13,86.69921875
14,86.2109375
15,89.69140625
16,89.69140625
17,89.69140625
18,89.8984375
19,89.8984375
20,90.5234375
21,90.6484375
22,90.6484375
23,94.69921875
24,99.5
25,96.953125
26,90.76171875
27,90.76171875
28,90.76171875
29,88.23828125
30,86.3984375
31,83.41796875
32,84.9140625
33,85.1640625
34,85.2890625
35,85.4140625
36,85.4140625
37,85.5390625
38,89.1640625
39,89.4140625
40,89.4140625
41,89.4140625
42,86.53515625
43,87.91015625
44,86.72265625
45,89.84375
46,89.84375
47,91.77734375
48,90.16015625
49,90.55859375
50,91.93359375
51,92.375
52,89.20703125
53,90.45703125
54,91.83203125
55,92.296875
56,90.0703125
57,91.4453125
58,92.8203125
59,92.01953125
60,92.64453125
61,91.25
62,94.375
63,91.390625
64,92.515625
65,91.546875
66,95.796875
67,95.0859375
68,96.4609375
69,91.1953125
70,92.9453125
71,92.9453125
72,92.9453125
73,94.9453125
74,92.05078125
75,91.2890625
76,92.5390625
77,90.73828125
78,89.4140625
79,89.2890625
80,89.4140625
81,91.2890625
82,90.67578125
83,91.671875
84,92.921875
85,94.07421875
86,93.35546875
87,93.35546875
88,87.40625
89,87.8828125
90,84.6328125
91,85.0078125
92,84.69921875
93,84.91015625
94,86.41015625
95,86.41015625
96,83.46875
97,83.1875
98,83.4375
99,83.4375
100,83.4375
101,83.4375
102,83.4375
103,86.9375
104,85.28125
105,85.578125
106,82.7578125
107,83.6015625
108,85.37109375
109,87.23046875
110,84.7265625
111,85.9765625
112,83.16796875
113,83.91796875
114,83.91796875
115,83.91796875
116,80.87890625
117,80.87890625
118,80.3359375
119,80.3359375
120,79.6875
121,79.625
122,82.20703125
123,83.70703125
124,83.70703125
125,83.70703125
126,82.71484375
127,83.71484375
128,83.71484375
129,89.8359375
130,88.5859375
131,88.5859375
132,88.5859375
133,88.3515625
134,86.6640625
135,86.203125
136,88.078125
137,88.078125
138,87.9609375
139,87.55078125
140,87.67578125
141,90.15625
142,91.53125
143,91.53125
144,91.65625
145,90.51171875
146,91.63671875
147,91.63671875
148,87.86328125
149,89.94140625
150,83.125
151,85.25
152,89.58984375
153,90.83984375
154,87.953125
155,91.203125
156,92.40625
157,89.73046875
158,91.10546875
159,93.23046875
160,92.390625
161,89.8203125
162,91.30859375
163,91.30859375
164,88.84765625
165,88.84765625
166,87.98046875
167,90.85546875
168,92.9921875
169,90.33984375
170,91.46484375
171,92.73046875
172,93.48046875
173,93.48046875
174,90.62109375
175,92.99609375
176,88.984375
177,88.8828125
178,86.03125
179,87.03125
180,87.65625
181,87.53125
182,86.23046875
183,86.23046875
184,86.23046875
185,100.58984375
186,97.86328125
187,97.86328125
188,98.23828125
189,98.23828125
190,97.3359375
191,97.3359375
192,93.5234375
193,97.4375
194,98.9375
195,97.49609375
196,97.49609375
197,97.49609375
198,97.49609375
199,97.49609375
200,97.62109375
201,99.87109375
202,101.24609375
203,99.34765625
204,99.84765625
205,99.84765625
206,92.65234375
207,94.27734375
208,95.41796875
209,96.29296875
210,98.04296875
211,101.29296875
212,101.86328125
213,101.86328125
214,101.98828125
215,102.03125
216,98.99609375
217,96.1875
218,97.5625
219,101.0625
220,99.0390625
221,99.234375
222,99.984375
223,100.984375
224,101.109375
225,98.1484375
226,98.1484375
227,98.0234375
228,98.0234375
229,100.5078125
230,99.7421875
231,95.96875
232,100.71875
233,96.58203125
234,97.83203125
235,100.69140625
236,101.375
237,101.75
238,101.875
239,101.7421875
240,95.1796875
241,95.8671875
242,96.9921875
243,92.4921875
244,88.61328125
245,88.86328125
246,94.73828125
247,96.11328125
248,96.98828125
249,93.0546875
250,83.36328125
251,87.0625
252,92.30859375
253,92.67578125
254,94.42578125
255,96.47265625
256,97.47265625
257,97.47265625
258,97.59765625
259,95.3515625
260,95.6015625
261,95.6015625
262,95.6015625
263,97.0859375
264,97.5859375
265,97.82421875
266,94.8203125
267,94.8203125
268,94.8203125
269,91.7734375
270,91.8984375
271,94.8984375
272,95.8984375
273,95.8984375
274,96.0234375
275,98.1484375
276,95.95703125
277,95.09765625
278,95.09765625
279,94.7578125
280,95.4140625
281,95.6640625
282,95.6640625
283,96.0390625
284,96.65234375
285,97.65234375
286,97.65234375
287,97.65234375
288,96.1015625
289,96.4765625
290,96.4765625
291,96.4765625
292,95.54296875
293,95.54296875
294,88.25
295,88.796875
296,88.8359375
297,90.203125
298,85.55078125
299,86.30078125
300,85.3671875
301,86.3671875
302,96.703125
303,149.26171875
304,210.6953125
305,228.12109375
306,255.328125
307,237.69921875
308,217.29296875
309,224.078125
310,245.26953125
311,252.8203125
312,255.5703125
313,253.22265625
314,271.4375
315,265.9140625
316,270.88671875
317,260.69921875
318,271.09765625
319,260.8984375
320,268.07421875
321,258.51171875
322,263.01171875
323,270.55859375
324,289.85546875
325,338.9609375
326,319.1015625
327,338.3984375
328,314.484375
329,332.90625
330,324.42578125
331,334.05859375
332,324.265625
333,325.890625
334,330.265625
335,334.515625
336,338.4375
337,324.75
338,339.8984375
339,349.99609375
340,354.6875
341,366.69140625
342,352.234375
343,339.5
344,331.7421875
345,335.2421875
346,339.6171875
347,344.3671875
348,346.3125
349,346.3125
350,346.3125
351,346.3125
352,347.9375
353,315.046875
354,324.1328125
355,319.6328125
356,358.8359375
357,344.69921875
358,357.078125
359,318.8359375
360,331.49609375
361,317.3046875
362,321.9296875
363,325.6796875
364,325.21875
365,325.71875
366,330.34375
367,334.59375
368,334.5390625
369,333.47265625
370,333.47265625
371,321.68359375
372,321.88671875
373,320.109375
374,329.55078125
375,331.30078125
376,328.57421875
377,324.578125
378,311.23828125
379,320.01953125
380,309.68359375
381,318.68359375
382,307.10546875
383,311.35546875
384,315.73046875
385,314.2265625
386,314.2265625
387,319.62109375
388,319.2734375
389,318.24609375
390,315.85546875
391,315.85546875
392,318.35546875
393,322.73046875
394,322.66015625
395,322.66015625
396,322.78515625
397,322.78515625
398,325.91015625
399,325.6875
400,325.6875
401,325.6875
402,325.6875
403,322.28125
404,321.9921875
405,321.9921875
406,321.9921875
407,321.73828125
408,323.98828125
409,308.22265625
410,308.22265625
411,308.22265625
412,308.22265625
413,304.9140625
414,312.8046875
415,319.1484375
416,308.20703125
417,313.72265625
418,309.4921875
419,367.109375
420,343.87890625
421,346.046875
422,322.7265625
423,326.8515625
424,331.1015625
425,335.4765625
426,340.1015625
427,344.3515625
428,329.703125
429,329.703125
430,283.07421875
431,284.44921875
432,285.69921875
433,287.19921875
434,290.65625
435,307.84765625
436,300.55078125
437,303.17578125
438,308.17578125
439,314.30078125
440,320.05078125
441,325.80078125
442,280.67578125
443,281.42578125
444,281.42578125
445,281.42578125
446,281.42578125
447,281.42578125
448,283.67578125
449,287.05078125
450,313.38671875
451,336.6640625
452,336.6640625
453,336.6640625
454,336.6640625
455,336.6640625
456,336.6640625
457,336.6640625
458,339.6640625
459,343.9140625
460,347.0390625
461,284.16796875
462,284.16796875
463,284.16796875
464,284.16796875
465,284.16796875
466,328.64453125
467,331.26953125
468,320.359375
469,316.96875
470,321.21875
471,325.84375
472,330.34375
473,289.43359375
474,288.4296875
475,284.81640625
476,282.9765625
477,284.3515625
478,282.5234375
479,282.3203125
480,282.01953125
481,297.50390625
482,290.6640625
483,290.6640625
484,316.98046875
485,334.49609375
486,334.67578125
487,346.046875
488,334.28515625
489,338.5078125
490,326.421875
491,338.33203125
492,320.97265625
493,320.97265625
494,325.47265625
495,329.72265625
496,341.64453125
497,341.640625
498,341.640625
499,341.640625
500,341.765625
501,342.890625
502,300.0
503,299.71484375
504,299.71484375
505,299.71484375
506,299.71484375
507,303.83984375
508,308.21484375
509,312.21484375
510,310.7109375
511,339.6171875
512,333.9609375
513,333.9609375
514,325.828125
515,325.828125
516,325.828125
517,325.828125
518,324.703125
519,327.703125
520,331.953125
521,336.703125
522,339.453125
523,339.26953125
524,339.26953125
525,339.26953125
526,322.1953125
527,343.203125
528,343.203125
529,343.203125
530,331.55078125
531,334.80078125
532,339.17578125
533,343.42578125
534,347.67578125
535,350.92578125
536,305.08203125
537,305.08203125
538,305.08203125
539,305.08203125
540,305.08203125
541,305.08203125
542,336.21484375
543,318.6640625
544,318.7890625
545,322.1640625
546,326.9140625
547,330.4140625
548,320.28515625
549,320.28515625
550,320.28515625
551,320.28515625
552,335.07421875
553,319.6484375
554,303.9296875
555,312.17578125
556,299.10546875
557,320.75390625
558,332.65234375
559,343.20703125
560,317.8671875
561,312.00390625
562,313.25390625
563,317.62890625
564,321.87890625
565,326.25390625
566,330.87890625
567,335.25390625
568,333.63671875
569,333.63671875
570,289.546875
571,291.046875
572,292.296875
573,274.7734375
574,297.890625
575,294.25
576,297.74609375
577,299.49609375
578,300.6171875
579,301.8671875
580,303.1171875
581,303.1328125
582,301.51171875
583,302.76171875
584,304.13671875
585,305.76171875
586,311.01171875
587,316.63671875
588,322.26171875
589,305.234375
590,305.234375
591,305.84765625
