elapsed [sec],ObjectSpace.memsize_of_all values [MB]
0,20.002368927001953
1,16.25528049468994
2,17.987537384033203
3,17.720590591430664
4,17.462679862976074
5,22.53714942932129
6,27.88728141784668
7,20.48016929626465
8,24.046406745910645
9,27.34270191192627
10,28.06019878387451
11,23.617067337036133
12,20.751750946044922
13,23.08256721496582
14,27.217583656311035
15,21.133562088012695
16,24.617871284484863
17,20.57999610900879
18,19.926244735717773
19,19.560906410217285
20,20.03335189819336
21,23.32016086578369
22,19.857288360595703
23,19.426207542419434
24,19.8991756439209
25,23.304182052612305
26,26.58773422241211
27,20.185470581054688
28,23.47227954864502
29,20.287819862365723
30,14.22287368774414
31,19.527445793151855
32,20.073789596557617
33,23.707724571228027
34,20.263042449951172
35,19.549851417541504
36,20.114771842956543
37,23.73982524871826
38,20.296103477478027
39,19.58291244506836
40,20.138853073120117
41,23.43454360961914
42,27.291415214538574
43,20.95071029663086
44,20.993547439575195
45,27.671520233154297
46,20.532835006713867
47,20.138683319091797
48,20.689697265625
49,23.985387802124023
50,20.536194801330566
51,20.161248207092285
52,20.712642669677734
53,24.01721477508545
54,20.56805992126465
55,19.863750457763672
56,20.744914054870605
57,24.031965255737305
58,20.592520713806152
59,17.9979305267334
60,21.614102363586426
61,21.15579319000244
62,24.451483726501465
63,21.11660099029541
64,20.74165439605713
65,21.397685050964355
66,24.69337558746338
67,21.35864543914795
68,20.983698844909668
69,21.64905834197998
70,25.817564010620117
71,19.696033477783203
72,23.20139217376709
73,19.8618803024292
74,27.550636291503906
75,17.59754753112793
76,20.90593433380127
77,21.715332984924316
78,25.353464126586914
79,22.163729667663574
80,21.472116470336914
81,22.282994270324707
82,25.921125411987305
83,22.740234375
84,22.03973960876465
85,22.859651565551758
86,20.00938320159912
87,19.300006866455078
88,16.128747940063477
89,16.747288703918457
90,20.046793937683105
91,19.836892127990723
92,23.3924503326416
93,19.964807510375977
94,19.264312744140625
95,19.745598793029785
96,23.37509059906006
97,19.874744415283203
98,19.17424964904785
99,19.65583896636963
100,23.294326782226562
101,19.784875869750977
102,19.075499534606934
103,15.780664443969727
104,19.409914016723633
105,20.011073112487793
106,23.31057834625244
107,20.219308853149414
108,19.53242778778076
109,20.125303268432617
110,23.620326042175293
111,20.33866310119629
112,19.638168334960938
113,20.240166664123535
114,23.869900703430176
115,20.46293354034424
116,19.753557205200195
117,20.346216201782227
118,25.422066688537598
119,19.957884788513184
120,19.257390022277832
121,15.950506210327148
122,19.579998016357422
123,20.27316379547119
124,23.56378746032715
125,20.265101432800293
126,19.8943510055542
127,20.58761978149414
128,23.878243446350098
129,20.74876594543457
130,20.210299491882324
131,28.086421966552734
132,25.70692729949951
133,23.522521018981934
134,19.589930534362793
135,22.88055419921875
136,19.421687126159668
137,23.050936698913574
138,19.583800315856934
139,18.883305549621582
140,15.561279296875
141,19.045352935791016
142,15.578460693359375
143,19.15846538543701
144,15.741331100463867
145,19.040836334228516
146,15.57512378692627
147,20.013362884521484
148,25.476080894470215
149,22.337702751159668
150,25.637207984924316
151,22.54655933380127
152,25.942723274230957
153,22.61855983734131
154,25.909183502197266
155,22.915425300598145
156,19.60009765625
157,18.89960289001465
158,15.576369285583496
159,18.938796043395996
160,15.873046875
161,19.17255210876465
162,31.743986129760742
163,21.527013778686523
164,24.835400581359863
165,21.3524808883667
166,20.66086769104004
167,21.50962543487549
168,24.818012237548828
169,21.336342811584473
170,20.644729614257812
171,21.214704513549805
172,24.801897048950195
173,21.320265769958496
174,20.628652572631836
175,21.157092094421387
176,24.786341667175293
177,33.678632736206055
178,21.562363624572754
179,20.85298728942871
180,21.500155448913574
181,25.12940502166748
182,21.786115646362305
183,21.492143630981445
184,20.791648864746094
185,21.773107528686523
186,25.06373119354248
187,21.72411346435547
188,21.014737129211426
189,21.21880340576172
190,24.77531909942627
191,35.15342426300049
192,20.628162384033203
193,24.04246711730957
194,20.795644760131836
195,20.095149993896484
196,20.64347553253174
197,24.272725105285645
198,20.81179904937744
199,20.11130428314209
200,20.68076801300049
201,24.27999782562256
202,20.81944179534912
203,20.198184967041016
204,20.988046646118164
205,24.287551879882812
206,34.74545955657959
207,21.525368690490723
208,25.15461826324463
209,21.635676383972168
210,24.935181617736816
211,21.510571479797363
212,25.047422409057617
213,21.529850959777832
214,24.82935619354248
215,21.64010715484619
216,20.93961238861084
217,21.422195434570312
218,25.042563438415527
219,21.52515697479248
220,24.83354377746582
221,19.939732551574707
222,23.568982124328613
223,20.116196632385254
224,23.415701866149902
225,19.98220443725586
226,19.602572441101074
227,20.16877555847168
228,23.459755897521973
229,20.016947746276855
230,19.64643955230713
231,20.203625679016113
232,23.512012481689453
233,20.069527626037598
234,19.689895629882812
235,32.48002815246582
236,21.598179817199707
237,25.014238357543945
238,21.915821075439453
239,25.20644474029541
240,21.905037879943848
241,25.53477191925049
242,22.22335433959961
243,25.522859573364258
244,22.350234031677246
245,26.662174224853516
246,20.453831672668457
247,23.758403778076172
248,20.448735237121582
249,20.082670211791992
250,32.582051277160645
251,21.942014694213867
252,25.40660572052002
253,21.961329460144043
254,25.248138427734375
255,22.12137508392334
256,25.427926063537598
257,21.974263191223145
258,25.269953727722168
259,22.145474433898926
260,25.44116497039795
261,21.98789691925049
262,21.283944129943848
263,22.150468826293945
264,25.44615936279297
265,18.93247413635254
266,18.21928310394287
267,21.714730262756348
268,22.285744667053223
269,25.581435203552246
270,22.01311683654785
271,25.440956115722656
272,22.071587562561035
273,21.36727809906006
274,21.790268898010254
275,25.424203872680664
276,21.84862518310547
277,25.144315719604492
278,21.585796356201172
279,30.97559928894043
280,16.481159210205078
281,19.76796817779541
282,20.325227737426758
283,23.950281143188477
284,20.497493743896484
285,19.793184280395508
286,20.332629203796387
287,23.957682609558105
288,20.51426124572754
289,19.809951782226562
290,20.349472999572754
291,23.983407974243164
292,20.522873878479004
293,19.827688217163086
294,29.988401412963867
295,20.14932632446289
296,23.618288040161133
297,27.38640022277832
298,20.919864654541016
299,24.316720962524414
300,20.989912033081055
301,24.64810848236084
302,28.70047378540039
303,101.53388500213623
304,107.05219268798828
305,74.03271961212158
306,106.16443252563477
307,109.56343841552734
308,118.48643207550049
309,167.29628372192383
310,107.12054538726807
311,110.41647815704346
312,114.04153156280518
313,117.3372220993042
314,156.25313663482666
315,206.23200130462646
316,209.52793407440186
317,199.83785438537598
318,203.133544921875
319,206.45537567138672
320,210.0551300048828
321,199.78664016723633
322,203.41169357299805
323,151.50549125671387
324,191.90314960479736
325,196.8274278640747
326,196.8527545928955
327,205.17320442199707
328,208.6917324066162
329,212.0939483642578
330,199.8470230102539
331,203.47243309020996
332,206.76812362670898
333,210.0726957321167
334,200.08885765075684
335,203.51744079589844
336,207.14249420166016
337,196.97900104522705
338,200.60429668426514
339,203.89110565185547
340,170.75105953216553
341,196.93907356262207
342,142.6382646560669
343,183.50994968414307
344,186.8056402206421
345,190.1039056777954
346,139.92857265472412
347,143.55422496795654
348,146.85879707336426
349,150.14584827423096
350,153.77978324890137
351,157.0754737854004
352,160.3711643218994
353,136.5499439239502
354,140.17392921447754
355,143.47850131988525
356,146.7653102874756
357,151.3144073486328
358,175.78125762939453
359,141.75613021850586
360,145.05182075500488
361,148.3475112915039
362,151.84953117370605
363,155.26825523376465
364,158.56394577026367
365,161.8596363067627
366,165.15532684326172
367,168.78038024902344
368,172.07607078552246
369,139.92519760131836
370,107.63774681091309
371,110.93343734741211
372,162.84295272827148
373,197.179931640625
374,197.14929008483887
375,209.94054794311523
376,214.3849105834961
377,198.94980335235596
378,202.24918842315674
379,205.8705472946167
380,209.1664800643921
381,199.1679401397705
382,202.79299354553223
383,206.08868408203125
384,209.38437461853027
385,199.38772201538086
386,203.01151275634766
387,206.6411190032959
388,209.94062423706055
389,199.93593406677246
390,199.01527881622314
391,226.45885467529297
392,201.29169178009033
393,203.35978412628174
394,206.98903369903564
395,210.29742050170898
396,200.42933559417725
397,204.05043029785156
398,207.3499355316162
399,210.64944076538086
400,201.00330257415771
401,204.43838024139404
402,208.076753616333
403,211.36737728118896
404,201.72896766662598
405,205.207781791687
406,208.7939853668213
407,200.15185546875
408,226.09341716766357
409,204.9912691116333
410,205.7401418685913
411,209.03964710235596
412,212.66889667510986
413,201.96951866149902
414,205.59876823425293
415,208.90715503692627
416,212.19813537597656
417,202.8683319091797
418,206.43921756744385
419,209.80596828460693
420,213.10547351837158
421,203.77587223052979
422,207.1777811050415
423,210.70462703704834
424,213.69052028656006
425,247.3757095336914
426,218.34227848052979
427,205.59793281555176
428,208.8974380493164
429,163.72281074523926
430,200.9417486190796
431,200.45918369293213
432,203.75868892669678
433,207.38793849945068
434,197.22857761383057
435,200.85782718658447
436,204.15733242034912
437,207.45683765411377
438,197.30494022369385
439,200.93491649627686
440,204.2344217300415
441,200.56919384002686
442,205.15516090393066
443,216.27597999572754
444,205.29476165771484
445,208.5942668914795
446,212.2235164642334
447,200.37609100341797
448,204.0058250427246
449,207.30533027648926
450,197.32573223114014
451,200.9552240371704
452,204.25472927093506
453,207.5542345046997
454,197.905611038208
455,201.20511627197266
456,204.83436584472656
457,208.1338710784912
458,197.73628997802734
459,221.45870971679688
460,204.3503942489624
461,207.65014171600342
462,210.94964694976807
463,198.63024234771729
464,202.15424251556396
465,205.78349208831787
466,209.0918788909912
467,199.1367311477661
468,202.7662229537964
469,206.05684661865234
470,209.356351852417
471,199.42036724090576
472,203.0391139984131
473,206.66860580444336
474,209.95922946929932
475,203.01910972595215
476,232.14321517944336
477,201.6244192123413
478,204.85136699676514
479,208.48061656951904
480,211.7801218032837
481,200.41050243377686
482,204.03975200653076
483,207.33949947357178
484,197.56697845458984
485,200.8664836883545
486,204.4957332611084
