elapsed [sec],memory usage (rss) [MB]
0,48.53515625
1,56.8203125
2,59.9453125
3,61.3203125
4,59.4453125
5,68.85546875
6,84.0
7,84.0625
8,85.4375
9,91.1875
10,86.359375
11,86.359375
12,86.359375
13,85.0703125
14,85.609375
15,92.609375
16,92.609375
17,87.60546875
18,87.79296875
19,90.25390625
20,96.97265625
21,95.37890625
22,96.87890625
23,99.72265625
24,100.97265625
25,100.97265625
26,93.73828125
27,90.80859375
28,90.80859375
29,90.23046875
30,88.5234375
31,88.7734375
32,94.2734375
33,95.5234375
34,88.9453125
35,89.203125
36,94.203125
37,95.703125
38,92.95703125
39,93.25
40,90.26953125
41,91.51953125
42,95.234375
43,95.234375
44,94.46875
45,91.48828125
46,91.984375
47,92.734375
48,91.9921875
49,93.3671875
50,93.56640625
51,93.81640625
52,90.640625
53,90.87890625
54,92.12890625
55,93.5859375
56,95.2109375
57,95.2109375
58,95.3359375
59,94.21484375
60,94.21484375
61,94.58984375
62,91.88671875
63,91.88671875
64,91.83203125
65,92.95703125
66,92.95703125
67,92.95703125
68,94.35546875
69,94.98046875
70,92.82421875
71,92.82421875
72,92.82421875
73,92.82421875
74,94.22265625
75,86.76953125
76,87.14453125
77,92.51953125
78,89.8828125
79,91.2578125
80,94.7578125
81,92.7421875
82,93.9921875
83,95.3671875
84,96.9921875
85,97.3671875
86,97.3671875
87,95.96484375
88,95.14453125
89,89.75
90,91.0
91,92.99609375
92,92.359375
93,92.50390625
94,93.84375
95,95.59375
96,94.6875
97,94.6875
98,94.6875
99,89.546875
100,86.890625
101,88.140625
102,91.515625
103,93.3671875
104,88.81640625
105,92.31640625
106,93.56640625
107,94.94140625
108,93.83984375
109,96.1484375
110,93.6484375
111,94.8984375
112,97.2734375
113,95.328125
114,95.453125
115,95.578125
116,97.453125
117,93.34375
118,94.08984375
119,95.08984375
120,95.83984375
121,88.00390625
122,89.37109375
123,93.06640625
124,89.91796875
125,91.16796875
126,94.66796875
127,92.703125
128,90.96875
129,92.34375
130,94.84375
131,95.3984375
132,95.921875
133,96.796875
134,96.61328125
135,95.92578125
136,93.1328125
137,92.1484375
138,93.1484375
139,97.1484375
140,97.44921875
141,99.19921875
142,96.2734375
143,98.8984375
144,99.07421875
145,99.69140625
146,99.33984375
147,97.5390625
148,100.1640625
149,103.26171875
150,101.49609375
151,102.74609375
152,102.359375
153,99.48828125
154,99.48828125
155,99.48828125
156,99.48828125
157,101.98828125
158,103.234375
159,103.20703125
160,103.58203125
161,101.58203125
162,101.63671875
163,100.7265625
164,101.9765625
165,99.4765625
166,100.34375
167,104.96875
168,106.21875
169,103.546875
170,104.84765625
171,105.59765625
172,105.59765625
173,99.6796875
174,102.6796875
175,100.61328125
176,100.97265625
177,101.65625
178,102.65625
179,104.78125
180,103.640625
181,103.640625
182,103.640625
183,101.15625
184,101.65625
185,105.28125
186,106.53125
187,103.6484375
188,104.91796875
189,102.71875
190,102.4375
191,106.3125
192,100.25390625
193,100.25390625
194,99.4765625
195,101.59765625
196,103.22265625
197,103.22265625
198,103.22265625
199,103.2890625
200,101.3046875
201,102.8046875
202,99.9453125
203,102.4765625
204,103.2265625
205,103.2265625
206,103.77734375
207,102.453125
208,99.5546875
209,99.6796875
210,99.5546875
211,99.5546875
212,99.6796875
213,99.6796875
214,99.6796875
215,99.6796875
216,102.9296875
217,103.5546875
218,103.5546875
219,103.5546875
220,103.5546875
221,100.28515625
222,99.26171875
223,100.13671875
224,99.88671875
225,100.13671875
226,102.76171875
227,104.13671875
228,104.13671875
229,104.13671875
230,100.40234375
231,101.0078125
232,98.41015625
