elapsed [sec],memory usage (rss) [MB]
0,186.0546875
1,191.6796875
2,193.6796875
3,195.6796875
4,197.6796875
5,199.6796875
6,201.5546875
7,145.97265625
8,140.609375
9,140.41796875
10,140.41796875
11,140.41796875
12,140.41796875
13,148.71875
14,148.71875
15,148.71875
16,132.66796875
17,134.54296875
18,136.54296875
19,140.4921875
20,140.4921875
21,142.4921875
22,144.4921875
23,146.3671875
24,148.3671875
25,139.58984375
26,139.58984375
27,139.58984375
28,141.58984375
29,143.58984375
30,145.46484375
31,170.45703125
32,170.45703125
33,170.45703125
34,170.45703125
35,170.45703125
36,170.45703125
37,158.78515625
38,150.98828125
39,152.98828125
40,154.98828125
41,156.86328125
42,158.86328125
43,166.15625
44,166.15625
45,166.15625
46,166.15625
47,148.79296875
48,150.79296875
49,162.2109375
50,162.2109375
51,162.2109375
52,162.2109375
53,162.2109375
54,162.2109375
55,159.828125
56,159.828125
57,159.828125
58,159.828125
59,159.828125
60,159.828125
61,163.51171875
62,165.38671875
63,167.38671875
64,169.38671875
65,171.26171875
66,172.51171875
67,175.703125
68,175.703125
69,175.703125
70,175.703125
71,177.703125
72,181.21484375
73,181.21484375
74,181.21484375
75,181.21484375
76,181.21484375
77,181.21484375
78,196.04296875
79,196.04296875
80,196.04296875
81,196.04296875
82,196.04296875
83,196.04296875
84,181.8359375
85,181.8359375
86,181.8359375
87,181.8359375
88,183.8359375
89,185.7109375
90,186.63671875
91,186.63671875
92,186.63671875
93,186.63671875
94,186.63671875
95,186.63671875
96,185.46875
97,185.59375
98,185.59375
99,183.26953125
100,183.26953125
101,183.26953125
102,180.10546875
103,180.10546875
104,180.10546875
105,180.10546875
106,181.98046875
107,183.85546875
108,185.765625
109,194.1953125
110,194.1953125
111,216.0703125
112,216.0703125
113,216.0703125
114,216.0703125
115,210.7890625
116,210.7890625
117,212.7890625
118,214.7890625
119,205.0546875
120,205.0546875
121,205.0546875
122,206.9296875
123,208.9296875
124,177.05078125
125,177.05078125
126,177.05078125
127,177.05078125
128,178.92578125
129,166.8984375
130,168.8984375
131,170.8984375
132,172.8984375
133,174.7734375
134,176.7734375
135,178.7734375
136,180.6484375
137,180.6484375
138,180.6484375
139,180.6484375
140,180.6484375
141,179.1875
142,179.1875
143,179.1875
144,179.1875
145,181.1875
146,183.1875
147,185.1875
148,187.1875
149,189.1875
150,191.1875
151,193.1875
152,195.1875
153,195.1875
154,197.1875
155,199.0625
156,199.0625
157,199.0625
158,199.0625
159,199.0625
160,194.875
161,196.875
162,198.875
163,190.79296875
164,193.41796875
165,195.41796875
166,197.41796875
167,185.7109375
168,185.7109375
169,185.7109375
170,185.7109375
171,187.5859375
172,199.63671875
173,199.63671875
174,199.63671875
175,199.63671875
176,199.63671875
177,199.63671875
178,199.63671875
179,191.84765625
180,193.84765625
181,195.84765625
182,197.72265625
183,199.72265625
184,199.72265625
185,199.72265625
186,199.72265625
187,199.72265625
188,199.72265625
189,199.72265625
190,199.72265625
191,193.9609375
192,195.8359375
193,197.8359375
194,199.8359375
195,199.8359375
196,199.8359375
197,199.8359375
198,199.8359375
199,199.8359375
200,199.8359375
201,199.8359375
202,199.8359375
203,188.1875
204,190.1875
205,192.0625
206,193.9375
207,195.9375
208,197.8125
209,199.8125
210,201.8125
211,203.8125
212,203.85546875
213,203.85546875
214,203.85546875
215,205.85546875
216,199.9375
217,201.9375
218,203.8125
219,205.8125
220,200.04296875
221,201.91796875
222,203.91796875
223,205.91796875
224,207.91796875
225,207.91796875
226,209.79296875
227,211.66796875
228,213.66796875
229,215.66796875
230,221.5546875
231,221.5546875
232,221.5546875
233,221.5546875
234,221.5546875
235,221.5546875
236,221.5546875
237,221.5546875
238,221.5546875
239,221.5546875
240,211.796875
241,211.796875
242,211.796875
243,211.796875
244,211.796875
245,203.99609375
246,205.87109375
247,207.87109375
248,209.87109375
249,209.87109375
250,209.87109375
251,209.87109375
252,209.87109375
253,209.87109375
254,209.87109375
255,209.87109375
256,202.0859375
257,203.9609375
258,205.9609375
259,207.9609375
260,209.9609375
261,201.23046875
262,204.10546875
263,205.98046875
264,207.98046875
265,207.98046875
266,209.98046875
267,211.85546875
268,213.85546875
269,215.85546875
270,215.85546875
271,217.73046875
272,219.60546875
273,221.60546875
274,223.60546875
275,225.60546875
276,227.48046875
277,229.48046875
278,231.48046875
279,233.35546875
280,235.23046875
281,235.23046875
282,237.23046875
283,180.5078125
284,180.5078125
285,180.5078125
286,180.5078125
287,180.5078125
288,180.5078125
289,180.5078125
290,180.5078125
291,180.5078125
292,180.5078125
293,180.5078125
294,180.5078125
295,180.5078125
296,180.5078125
297,180.5078125
298,182.5078125
299,184.3828125
300,184.2265625
301,186.2265625
302,188.1015625
303,190.1015625
304,191.9765625
305,193.9765625
306,195.9765625
307,197.8515625
308,125.953125
309,125.953125
310,125.953125
311,125.953125
312,125.953125
313,125.953125
314,125.953125
315,125.953125
316,125.953125
317,125.953125
318,125.953125
319,125.953125
320,125.953125
321,125.953125
322,125.953125
323,125.953125
324,125.953125
325,125.953125
326,125.953125
327,125.953125
328,125.953125
329,125.953125
330,125.953125
331,125.953125
332,125.953125
333,125.953125
334,125.953125
335,125.953125
336,125.953125
337,125.953125
338,125.953125
339,125.953125
340,125.953125
341,125.953125
342,125.953125
343,127.953125
344,129.953125
345,129.953125
346,131.828125
347,133.703125
348,135.703125
349,146.37890625
350,146.37890625
351,146.37890625
352,146.37890625
353,146.37890625
354,146.37890625
355,146.37890625
356,146.37890625
357,146.37890625
358,146.37890625
359,146.37890625
360,146.37890625
361,146.37890625
362,146.37890625
363,146.37890625
364,146.37890625
365,146.37890625
366,140.5625
367,128.8203125
368,128.8203125
369,128.8203125
370,128.8203125
371,128.8203125
372,130.8203125
373,132.6953125
374,134.5703125
375,134.5703125
376,134.5703125
377,136.4453125
378,138.4453125
379,138.4453125
380,138.4453125
381,138.4453125
382,138.4453125
383,138.4453125
384,138.4453125
385,138.4453125
386,138.4453125
387,138.4453125
388,138.4453125
389,138.4453125
390,138.4453125
391,138.4453125
392,138.4453125
393,138.4453125
394,138.4453125
395,140.4453125
396,142.4453125
397,144.4453125
398,146.4453125
399,148.4453125
400,150.3203125
401,152.3203125
402,154.3203125
403,156.3203125
404,144.59375
405,167.82421875
406,173.34375
407,179.34375
408,187.71875
409,188.296875
410,192.921875
411,198.171875
412,202.515625
413,207.6875
414,208.2578125
415,215.2578125
416,221.2578125
417,225.00390625
418,228.50390625
419,231.58203125
420,235.125
421,239.0
422,243.125
423,247.875
424,250.8515625
425,254.65625
426,258.28125
427,262.28125
428,263.15625
429,274.921875
430,279.671875
431,290.921875
432,295.796875
433,300.671875
434,304.421875
435,307.453125
436,301.96484375
437,272.28125
438,262.234375
439,262.484375
440,259.046875
441,254.03125
442,242.7109375
443,236.35546875
444,228.8203125
445,230.99609375
446,229.10546875
447,233.734375
448,236.859375
449,241.234375
450,244.45703125
451,245.58203125
452,248.33203125
453,285.1015625
454,284.390625
455,293.140625
456,298.015625
457,301.890625
458,306.140625
459,309.515625
460,312.78515625
461,317.125
462,319.5390625
463,301.68359375
464,301.796875
465,299.765625
466,296.1640625
467,288.1015625
468,272.3984375
469,263.7265625
470,256.671875
471,242.796875
472,243.59375
473,244.42578125
474,247.30078125
475,249.17578125
476,251.05078125
477,253.05078125
478,288.2890625
479,291.38671875
480,295.38671875
481,292.77734375
482,296.27734375
483,300.77734375
484,304.6484375
485,308.26171875
486,313.26171875
487,316.3203125
488,320.9453125
489,325.05078125
490,303.21875
491,298.80859375
492,292.3203125
493,288.37109375
494,282.26953125
495,267.2734375
496,253.765625
497,245.125
498,246.01171875
499,245.30078125
500,245.30078125
501,247.30078125
502,249.30078125
503,251.17578125
504,253.05078125
505,255.05078125
506,257.05078125
507,257.1171875
508,292.90234375
509,302.77734375
510,305.90234375
511,310.02734375
512,313.77734375
513,317.77734375
514,316.33203125
515,317.59765625
516,317.59765625
517,317.59765625
518,317.59765625
519,317.140625
520,322.859375
521,326.9296875
522,331.15234375
523,322.34765625
524,329.09765625
525,331.41796875
526,308.1953125
527,301.0546875
528,301.1796875
529,296.5625
530,290.359375
531,280.49609375
532,261.1875
533,255.98828125
534,250.67578125
535,252.55078125
536,254.55078125
537,256.42578125
538,258.42578125
539,260.30078125
540,262.30078125
541,264.17578125
542,266.05078125
543,255.36328125
544,257.36328125
545,259.36328125
